# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cpu_core/cycles/u'
# Event count (approx.): 11931873411
#
# Overhead  Symbol                                                                                                                                                                                                                                                                                                                         IPC   [IPC Coverage]
# ........  .............................................................................................................................................................................................................................................................................................................................  ....................
#
    57.76%  [.] _RINvNtNtCsl7mlajFerVc_17chr_direct_choice6demand7context7seekingjbEB6_                                                                                                                                                                                                                                                    -      -            
    13.87%  [.] _RNvNvMs_NtCsl7mlajFerVc_17chr_direct_choice6demandNtB6_3Run13finite_result5visit                                                                                                                                                                                                                                          -      -            
     9.35%  [.] _RNvMs_NtCsl7mlajFerVc_17chr_direct_choice6demandNtB4_3Run5force                                                                                                                                                                                                                                                           -      -            
     1.72%  [.] _RNvMsi_NtNtNtCscdodAO9FK5_5alloc11collections5btree3mapINtB5_8BTreeMapjNtNtB7_7set_val9SetValZSTE6insertCsl7mlajFerVc_17chr_direct_choice                                                                                                                                                                                 -      -            
     1.40%  [.] malloc                                                                                                                                                                                                                                                                                                                     -      -            
     1.30%  [.] _RNvMs4_NtNtNtNtCscdodAO9FK5_5alloc11collections5btree3map5entryINtB5_11VacantEntryjjE12insert_entryCsl7mlajFerVc_17chr_direct_choice                                                                                                                                                                                      -      -            
     1.29%  [.] _RNvXs9_NtCsl7mlajFerVc_17chr_direct_choice6demandNtB5_4NodeNtNtCs4NRVxsYgnAr_4core5clone5Clone5clone                                                                                                                                                                                                                      -      -            
     1.03%  [.] _RINvNvXs0_NtNtNtCscdodAO9FK5_5alloc11collections5btree3mapINtB8_8BTreeMappppENtNtCs4NRVxsYgnAr_4core5clone5Clone5clone13clone_subtreejbNtNtBe_5alloc6GlobalECsl7mlajFerVc_17chr_direct_choice.llvm.15866106546757652929                                                                                                   -      -            
     0.85%  [.] _RNvMs_NtCsl7mlajFerVc_17chr_direct_choice6demandNtB4_3Run4tick                                                                                                                                                                                                                                                            -      -            
     0.80%  [.] _RINvMsN_NtNtNtCscdodAO9FK5_5alloc11collections5btree4nodeINtB6_6HandleINtB6_7NodeRefNtNtB6_6marker3MutjNtNtB8_7set_val9SetValZSTNtB1m_4LeafENtB1m_4EdgeE16insert_recursingNtNtBc_5alloc6GlobalNCNvMs4_NtNtB8_3map5entryINtB3a_11VacantEntryjB1D_E12insert_entry0ECsl7mlajFerVc_17chr_direct_choice                        -      -            


#
# (Cannot load tips.txt file, please install perf!)
#
